LotArea,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,GarageCars,GarageArea,SalePrice
17295,1965,412,1019,2,4,1,167,277544
2360,2017,441,3724,1,2,1,953,392016
6890,1986,692,1358,1,4,0,714,399880
13464,2003,1436,673,3,4,2,340,317614
12784,1963,1916,1866,3,1,1,660,277467
7765,2004,537,3552,3,5,3,913,196025
18350,1997,372,2978,2,3,1,694,285652
5926,1956,871,1226,2,4,2,924,481723
15923,1956,363,2210,3,5,3,151,405113
12863,1982,664,2375,2,3,2,585,141493
17523,1972,1194,3397,3,4,0,876,318667
9822,1968,696,2181,2,3,3,912,267995
3185,1968,899,1847,1,5,2,273,238262
2269,1985,594,1489,1,2,3,553,490977
3933,1978,902,3186,3,5,2,495,343313
6811,2009,507,919,2,1,3,723,95641
6551,1951,1991,1093,2,3,2,100,204062
7920,1950,382,3032,1,2,0,556,79661
19068,1996,828,2274,1,3,3,81,194491
7896,2018,709,2959,3,3,3,528,326601
10166,1969,1931,1435,1,4,3,72,379744
19931,1960,745,1607,3,1,3,13,153619
4247,1951,1787,1636,1,3,0,432,388246
1689,2016,823,831,1,5,3,156,83085
4505,1961,1987,3949,2,5,1,734,147064
3399,1969,793,3202,1,4,0,131,231726
2767,1954,943,2588,1,1,1,337,449346
19412,1986,1450,2293,3,1,3,403,155723
12894,1987,1968,1458,1,5,2,375,183114
5056,1958,1956,604,3,2,1,887,382278
5390,2002,1659,701,1,4,3,558,355126
10338,1993,1645,2997,1,4,1,106,377329
16002,1973,753,2342,3,5,3,619,83477
12127,1979,220,2366,2,5,3,264,164161
10292,2008,753,2496,3,2,3,204,364853
12055,1963,596,1789,3,2,2,78,209788
11753,1958,824,1409,3,1,1,154,390281
9933,1989,304,709,2,4,0,782,348162
11733,2015,391,1062,1,4,0,987,189133
12516,1974,216,3689,3,5,0,996,189681
4112,2022,1343,3260,3,1,0,246,347515
17287,1971,592,3948,2,4,3,530,291422
18659,1953,624,2063,3,1,1,857,395165
13706,1975,328,1270,1,1,1,947,464021
9726,2007,1353,3655,2,5,2,537,320001
16041,1978,771,3001,1,1,1,728,192692
4652,1986,1783,3214,1,2,1,153,58177
3085,2019,228,1128,2,2,1,153,473327
5443,1967,1320,2128,3,3,2,685,301842
2521,1991,1233,2201,1,5,0,91,400722
13153,1990,441,886,1,3,1,432,139941
12305,1987,431,2435,1,2,2,337,308121
14917,1983,988,3921,1,3,2,479,61826
9489,1966,1507,2843,2,5,3,692,194962
11192,1986,914,2805,2,5,2,130,394572
14490,1974,958,1604,1,1,0,449,176044
8373,1976,1001,767,3,4,1,992,239103
7175,2006,975,2966,1,1,2,809,387164
1661,1980,925,2782,3,5,0,786,55495
5797,1955,399,2356,1,2,2,272,78481
2495,1989,1144,3882,3,2,2,928,192339
13034,1961,278,2498,1,1,2,587,430041
9129,2002,1155,3533,3,5,2,176,286774
2516,2020,1055,1880,1,2,2,695,187815
10029,1959,1396,1736,1,5,0,830,498016
18762,1994,666,1073,3,2,1,642,153475
10768,1966,780,548,2,5,1,874,229845
13685,1975,1639,1650,3,3,1,48,369186
7831,2011,1139,722,2,5,1,566,99476
10071,1995,648,3468,1,5,0,665,273177
8708,2013,286,3850,3,1,3,354,340696
6776,1951,300,1931,3,3,3,711,246314
19946,2003,1231,2028,3,4,0,307,488988
17948,2014,1044,3865,2,1,0,867,486946
17716,2000,1423,2319,2,4,2,884,210020
9506,2002,1728,2824,1,2,2,629,257383
4068,1985,286,1961,2,4,2,774,119093
3527,1975,242,1630,2,5,1,45,119123
4195,1978,1608,2181,1,4,2,301,66535
16922,1970,1844,2967,3,1,3,867,378634
6758,1960,1658,3158,3,1,1,911,96562
8236,1989,607,874,1,4,2,407,431186
1891,1960,1706,2620,3,1,1,188,306323
15486,1985,863,2521,2,1,3,821,401224
14166,2008,1240,1553,1,4,2,829,308916
7392,1988,1868,3759,1,3,3,128,239607
5061,2003,347,3935,1,3,3,560,280063
7684,2004,476,2389,3,2,3,536,91269
9892,1973,431,2323,1,1,2,265,130674
14567,1971,565,1974,1,4,0,117,354606
16765,2018,1451,2742,1,1,2,463,446343
3954,2005,1874,1679,3,5,3,143,335291
13337,1982,635,3743,2,1,2,441,488744
15539,1985,598,3394,1,1,3,199,127095
12465,1969,1434,1564,2,3,0,156,294172
11262,2011,1614,3634,3,4,1,486,250003
6556,2022,698,2570,3,1,0,859,140925
16448,1975,739,859,3,3,0,133,116381
9610,2015,762,3646,3,2,1,911,149468
15273,2022,1714,3107,2,3,2,147,292330
18912,2022,641,3219,1,3,1,335,375893
2002,1989,1484,2541,3,3,2,70,481888
8410,1966,972,1641,3,1,2,232,63731
14185,1950,549,2135,2,1,3,333,436791
1706,2010,1575,1903,2,2,3,810,497728
19368,1992,719,2443,3,5,1,665,101024
17434,1991,1543,1178,1,5,0,89,166712
18747,1974,337,3861,1,5,1,333,151121
10255,1988,1773,2987,3,2,2,198,315976
13883,1984,1846,3480,2,5,3,160,82332
19641,1952,1191,506,3,5,1,537,62467
16320,1993,567,3767,3,3,1,120,91025
9074,2000,1443,2968,2,1,3,300,194179
7874,1961,1560,2091,3,1,3,723,127994
3178,1968,1446,1332,3,3,3,574,144202
2559,1993,1871,3764,3,3,2,962,93481
17698,2008,1991,3106,2,3,3,435,445797
11414,1998,559,3719,1,1,0,67,125118
12317,2010,1120,2310,1,5,1,764,436154
12421,1966,528,3773,2,3,3,921,494854
11289,2006,1161,1413,1,2,3,458,173714
17812,2004,662,2511,3,3,2,513,451634
12752,1996,1145,1942,1,4,2,397,274699
4193,1961,1162,1950,3,3,1,619,210185
15431,2011,1784,3554,1,1,0,285,134363
5127,1957,1605,2002,2,3,1,560,435751
17657,1970,1035,625,1,4,3,139,375188
11673,2019,1813,2942,1,2,0,729,261027
19547,2021,1840,1316,1,5,0,555,323958
11730,1974,368,3428,2,3,0,928,411484
17207,1961,416,2329,1,4,0,780,322168
12994,1964,577,1075,2,4,1,589,244360
2806,2008,318,2872,3,2,2,727,421380
8276,1975,389,1915,1,1,2,893,107836
10974,1975,966,1429,2,3,3,609,319579
9026,1996,569,1963,2,4,2,747,305095
7030,1981,348,3775,1,2,2,281,382745
5248,1959,1899,1332,3,5,2,660,311176
15045,1965,851,1554,2,4,2,923,433015
2163,2020,1711,3959,1,2,3,815,299717
3498,1966,969,2148,3,1,1,995,184479
9494,1972,573,2400,2,1,0,935,411087
19379,1975,980,1957,2,4,2,577,82940
4804,1956,1916,3384,3,4,1,745,55666
19737,1963,359,3473,3,3,2,456,349266
15308,1956,550,1899,1,2,2,86,430791
8085,1958,1511,3915,1,4,0,78,206164
19175,1997,1511,942,2,3,0,204,441897
13149,2021,1091,2622,3,3,0,790,435546
3136,2008,1449,1056,3,4,2,336,256717
18582,1988,722,1678,3,1,2,253,413334
6237,1967,721,2537,2,2,2,303,412612
16055,2008,982,862,3,2,0,379,441351
15377,1966,472,2995,3,1,3,129,76505
2354,1963,1135,1757,2,4,1,595,86713
7355,1980,1625,2341,1,2,3,275,497603
8892,1973,382,2809,1,4,2,698,355313
15449,2009,1888,2350,2,4,2,557,254354
19591,1994,687,2672,3,3,3,898,127511
7291,1952,1045,1410,2,1,2,182,494958
6431,1986,323,744,1,4,1,267,352666
1702,1992,1184,1041,1,5,2,807,262204
12947,1989,1849,3032,2,1,1,321,300694
14188,2004,989,2669,2,2,3,511,299836
5889,1988,613,2672,1,3,3,611,284561
3827,1964,1948,2072,2,2,2,77,411541
9504,1953,1395,2717,1,2,1,783,53880
9277,1974,1511,623,2,1,2,338,486670
1697,1962,1658,3606,2,2,0,673,498927
3430,1982,885,3658,2,4,0,555,93539
13274,1965,312,3193,1,2,0,508,290056
16587,1991,1087,2231,2,3,0,237,269057
10839,2015,321,1285,1,3,2,133,64799
13089,2004,1767,2543,1,5,0,972,154843
17208,1991,1445,2748,2,3,1,191,493942
18543,1983,1854,2916,2,2,3,355,98784
4311,1979,238,1296,1,3,3,277,163034
15743,1962,696,576,1,1,0,17,486549
8046,1962,979,558,3,3,0,523,484044
3486,1967,1456,2978,1,4,0,179,250598
9838,1981,1142,3185,3,1,2,122,104362
12911,1988,1753,2023,3,5,3,245,103997
4411,1995,348,2436,3,4,0,733,231413
3234,1978,1620,2656,2,2,1,372,462289
19727,2011,1221,3555,2,2,0,50,414543
10180,2011,860,1801,1,2,3,999,326693
19843,2006,1861,567,3,4,0,70,369064
7259,1965,501,3640,2,4,3,479,266398
3885,2005,1583,3736,2,4,0,559,310464
12611,1959,437,2852,2,1,1,18,463532
6236,1979,846,2432,2,1,0,773,207255
3302,1974,862,3221,2,2,1,83,406004
9655,1954,435,864,3,3,1,154,74624
